function_name,duration,high_res_duration
GrabImageStereo,460567127,460567226
ComputePyramid,652848,652947
ComputePyramid,904298,904428
DistributeOctTree,1511479,1511539
DistributeOctTree,1500196,1500257
DistributeOctTree,1014248,1014278
DistributeOctTree,994972,995022
DistributeOctTree,726098,726138
DistributeOctTree,723463,723492
DistributeOctTree,513241,513301
DistributeOctTree,541335,541375
DistributeOctTree,369316,369356
DistributeOctTree,373774,373824
DistributeOctTree,267501,267531
DistributeOctTree,279705,279765
DistributeOctTree,203208,203238
DistributeOctTree,207637,207667
DistributeOctTree,158132,158172
DistributeOctTree,166868,166909
computeOrientation,566242,566272
computeOrientation,593103,593134
computeOrientation,455992,456022
computeOrientation,482522,482552
computeOrientation,375107,375147
computeOrientation,314441,314471
computeOrientation,393743,393773
computeOrientation,260578,260608
computeOrientation,317446,317467
computeOrientation,216433,216453
computeOrientation,268273,268313
